JSE_STOCK,TARGET_STOCK,TARGET_MARKET,PERCENT_CHANGE_CORR,DAILY_SIMILARITY_10
CLS.JO_2021-09-15_2023-09-15,LNW.AX_2021-09-15_2023-09-15,asx,0.22190568861170806,0.5064935064935064
CLS.JO_2021-09-15_2023-09-15,SGP.AX_2021-09-15_2023-09-15,asx,0.16814228286456046,0.48879837067209775
CLS.JO_2021-09-15_2023-09-15,WES.AX_2021-09-15_2023-09-15,asx,0.16714403909257686,0.570264765784114
CLS.JO_2021-09-15_2023-09-15,RHCPA.AX_2021-09-15_2023-09-15,asx,-0.15518415756477724,0.4020408163265306
CLS.JO_2021-09-15_2023-09-15,WTC.AX_2021-09-15_2023-09-15,asx,0.15426067002068064,0.5437881873727087
CLS.JO_2021-09-15_2023-09-15,RHC.AX_2021-09-15_2023-09-15,asx,0.15176458486205915,0.5458248472505092
CLS.JO_2021-09-15_2023-09-15,GMG.AX_2021-09-15_2023-09-15,asx,0.14928618025004664,0.5519348268839104
CLS.JO_2021-09-15_2023-09-15,ALL.AX_2021-09-15_2023-09-15,asx,0.14161251543609418,0.5621181262729125
CLS.JO_2021-09-15_2023-09-15,PME.AX_2021-09-15_2023-09-15,asx,0.13782778319492286,0.5661914460285132
CLS.JO_2021-09-15_2023-09-15,4452.T_2021-09-15_2023-09-15,jpx,0.1354986769174524,0.5444915254237288
CML.JO_2021-09-15_2023-09-15,4689.T_2021-09-15_2023-09-15,jpx,0.255690041027189,0.5466101694915254
CML.JO_2021-09-15_2023-09-15,9984.T_2021-09-15_2023-09-15,jpx,0.24458990141307632,0.5190677966101694
CML.JO_2021-09-15_2023-09-15,4901.T_2021-09-15_2023-09-15,jpx,0.22111580156663713,0.5296610169491526
CML.JO_2021-09-15_2023-09-15,6594.T_2021-09-15_2023-09-15,jpx,0.21882333351312433,0.5847457627118644
CML.JO_2021-09-15_2023-09-15,MQG.AX_2021-09-15_2023-09-15,asx,0.2185252914012316,0.5723014256619144
CML.JO_2021-09-15_2023-09-15,SQ2.AX_2021-09-15_2023-09-15,asx,0.2161991336370952,0.583743842364532
CML.JO_2021-09-15_2023-09-15,SEK.AX_2021-09-15_2023-09-15,asx,0.21567929411798273,0.5539714867617108
CML.JO_2021-09-15_2023-09-15,GMG.AX_2021-09-15_2023-09-15,asx,0.2151636186139718,0.570264765784114
CML.JO_2021-09-15_2023-09-15,ANZ.AX_2021-09-15_2023-09-15,asx,0.20657775015228347,0.5723014256619144
CML.JO_2021-09-15_2023-09-15,SGP.AX_2021-09-15_2023-09-15,asx,0.20184747409108691,0.4847250509164969
COH.JO_2021-09-15_2023-09-15,CBAPH.AX_2021-09-15_2023-09-15,asx,0.15680605496702443,0.5081632653061224
COH.JO_2021-09-15_2023-09-15,600887.SS_2021-09-15_2023-09-15,ssx,0.15619127783743142,0.4742489270386266
COH.JO_2021-09-15_2023-09-15,4689.T_2021-09-15_2023-09-15,jpx,0.12308799656074951,0.5021186440677966
COH.JO_2021-09-15_2023-09-15,601111.SS_2021-09-15_2023-09-15,ssx,0.12040564522867418,0.4613733905579399
COH.JO_2021-09-15_2023-09-15,600938.SS_2021-09-15_2023-09-15,ssx,0.11907208838841261,0.4578313253012048
COH.JO_2021-09-15_2023-09-15,ALD.AX_2021-09-15_2023-09-15,asx,0.11683045669996027,0.5010183299389002
COH.JO_2021-09-15_2023-09-15,NAB.AX_2021-09-15_2023-09-15,asx,0.1161630363596289,0.4908350305498982
COH.JO_2021-09-15_2023-09-15,600019.SS_2021-09-15_2023-09-15,ssx,-0.11323307122694745,0.4055793991416309
COH.JO_2021-09-15_2023-09-15,300750.SZ_2021-09-15_2023-09-15,ssx,0.11195206394971273,0.4721030042918455
COH.JO_2021-09-15_2023-09-15,002475.SZ_2021-09-15_2023-09-15,ssx,0.11164023107401692,0.47639484978540775
CPI.JO_2021-09-15_2023-09-15,RHCPA.AX_2021-09-15_2023-09-15,asx,-0.2933683685678962,0.4448979591836735
CPI.JO_2021-09-15_2023-09-15,000725.SZ_2021-09-15_2023-09-15,ssx,0.2671859080910977,0.4892703862660944
CPI.JO_2021-09-15_2023-09-15,601628.SS_2021-09-15_2023-09-15,ssx,0.21650713775260463,0.5128755364806867
CPI.JO_2021-09-15_2023-09-15,BENPG.AX_2021-09-15_2023-09-15,asx,0.2154578248002932,0.46938775510204084
CPI.JO_2021-09-15_2023-09-15,688041.SS_2021-09-15_2023-09-15,ssx,-0.2050114457148881,0.4573643410852713
CPI.JO_2021-09-15_2023-09-15,601066.SS_2021-09-15_2023-09-15,ssx,0.1874771701069533,0.4957081545064378
CPI.JO_2021-09-15_2023-09-15,600309.SS_2021-09-15_2023-09-15,ssx,0.17355462746019912,0.5171673819742489
CPI.JO_2021-09-15_2023-09-15,601319.SS_2021-09-15_2023-09-15,ssx,0.1578847129531025,0.48283261802575106
CPI.JO_2021-09-15_2023-09-15,601601.SS_2021-09-15_2023-09-15,ssx,0.1543608102146259,0.5364806866952789
CPI.JO_2021-09-15_2023-09-15,SEK.AX_2021-09-15_2023-09-15,asx,-0.1411644881309701,0.5254582484725051
DCP.JO_2021-09-15_2023-09-15,RHCPA.AX_2021-09-15_2023-09-15,asx,-0.2932018352964412,0.40816326530612246
DCP.JO_2021-09-15_2023-09-15,000725.SZ_2021-09-15_2023-09-15,ssx,0.26730039394277705,0.4570815450643777
DCP.JO_2021-09-15_2023-09-15,601628.SS_2021-09-15_2023-09-15,ssx,0.2169045270017412,0.5085836909871244
DCP.JO_2021-09-15_2023-09-15,BENPG.AX_2021-09-15_2023-09-15,asx,0.21539460862074106,0.4530612244897959
DCP.JO_2021-09-15_2023-09-15,601066.SS_2021-09-15_2023-09-15,ssx,0.18756225561391596,0.4613733905579399
DCP.JO_2021-09-15_2023-09-15,600309.SS_2021-09-15_2023-09-15,ssx,0.17393062858880248,0.4978540772532189
DCP.JO_2021-09-15_2023-09-15,601319.SS_2021-09-15_2023-09-15,ssx,0.15821708826538186,0.4871244635193133
DCP.JO_2021-09-15_2023-09-15,601601.SS_2021-09-15_2023-09-15,ssx,0.15461544542532685,0.5214592274678111
DCP.JO_2021-09-15_2023-09-15,SEK.AX_2021-09-15_2023-09-15,asx,-0.14103213557219943,0.5315682281059063
DCP.JO_2021-09-15_2023-09-15,000333.SZ_2021-09-15_2023-09-15,ssx,0.13681110722650955,0.48283261802575106
DRD.JO_2021-09-15_2023-09-15,NST.AX_2021-09-15_2023-09-15,asx,0.34611825155688847,0.5723014256619144
DRD.JO_2021-09-15_2023-09-15,EVN.AX_2021-09-15_2023-09-15,asx,0.3350026633452074,0.5376782077393075
DRD.JO_2021-09-15_2023-09-15,NCM.AX_2021-09-15_2023-09-15,asx,0.30573450707806055,0.570264765784114
DRD.JO_2021-09-15_2023-09-15,600016.SS_2021-09-15_2023-09-15,ssx,0.1781883400641792,0.4248927038626609
DRD.JO_2021-09-15_2023-09-15,MGR.AX_2021-09-15_2023-09-15,asx,0.1659443864786487,0.48065173116089616
DRD.JO_2021-09-15_2023-09-15,601899.SS_2021-09-15_2023-09-15,ssx,0.16070756350472182,0.5364806866952789
DRD.JO_2021-09-15_2023-09-15,601328.SS_2021-09-15_2023-09-15,ssx,0.14916491622446026,0.463519313304721
DRD.JO_2021-09-15_2023-09-15,601601.SS_2021-09-15_2023-09-15,ssx,0.1470211382583941,0.5257510729613734
