Date,Open,High,Low,Close,Adj Close,Volume
2022-10-12,17801.0,18045.0,17653.0,17892.0,16598.9921875,2838700
2022-10-13,17880.0,18128.0,17647.0,18042.0,16738.15234375,2939267
2022-10-14,18499.0,18497.0,18088.0,18176.0,16862.466796875,2989321
2022-10-17,18159.0,18905.0,17882.0,18806.0,17446.939453125,2965288
2022-10-18,18747.0,18968.0,18582.0,18713.0,17360.66015625,2962120
2022-10-19,18600.0,19350.0,18639.0,19308.0,17912.66015625,3818287
2022-10-20,19350.0,19320.5,18759.0,19106.0,17725.259765625,3210904
2022-10-21,18895.0,19240.0,18691.0,19097.0,17716.908203125,3005445
2022-10-24,19199.0,19327.0,18911.0,19327.0,17930.287109375,2650839
2022-10-25,19350.0,19696.0,19199.0,19630.0,18211.390625,2581421
2022-10-26,19572.0,20294.0,19582.0,20217.0,18755.96875,3854098
2022-10-27,19980.0,20300.0,19917.0,20288.0,18821.83984375,2055762
2022-10-28,20061.0,20191.0,19698.0,20125.0,18670.6171875,2792403
2022-10-31,20300.0,20436.0,19884.0,19974.0,18530.529296875,1981234
2022-11-01,20009.0,20103.0,19577.0,19723.0,18297.669921875,2121526
2022-11-02,19840.0,19797.0,19520.0,19797.0,18366.3203125,2133053
2022-11-03,19795.0,19845.0,19377.0,19555.0,18141.810546875,2718927
2022-11-04,19836.0,20061.0,19531.0,20061.0,18611.244140625,2141140
2022-11-07,19848.0,20250.0,19923.0,20215.0,18754.115234375,2140461
2022-11-08,20050.0,20239.0,19991.0,20075.0,18624.232421875,1557453
2022-11-09,20000.0,20057.0,19715.0,19777.0,18347.767578125,2224902
2022-11-10,19100.0,19948.0,19165.0,19908.0,18469.30078125,3448418
2022-11-11,20000.0,20322.0,19691.0,19823.0,18390.44140625,4853652
2022-11-14,20000.0,20225.0,19615.0,20014.0,18567.640625,1740425
2022-11-15,19735.0,19827.0,19410.0,19619.0,18201.185546875,3081712
2022-11-16,19700.0,19906.0,19597.0,19717.0,18292.103515625,2072781
2022-11-17,19510.0,20070.0,19597.0,19983.0,18538.880859375,3560190
2022-11-18,20200.0,20390.0,20031.0,20224.0,18762.462890625,2373140
2022-11-21,20112.0,20543.0,20039.0,20491.0,19010.169921875,2563944
2022-11-22,20411.0,21100.0,20365.0,20908.0,19397.033203125,3185808
2022-11-23,21000.0,21098.0,20581.0,20727.0,19229.11328125,2474567
2022-11-24,20700.0,20793.0,20440.0,20586.0,19098.302734375,1059018
2022-11-25,20500.0,20872.0,20282.0,20782.0,19280.138671875,1003345
2022-11-28,20879.0,20816.0,20469.0,20618.0,19127.990234375,2238903
2022-11-29,20618.0,20998.0,20136.0,20218.0,18756.8984375,1891649
2022-11-30,20144.0,20587.0,20025.0,20519.0,19036.14453125,4280259
2022-12-01,20700.0,20589.0,18540.0,18540.0,17200.162109375,7629360
2022-12-02,18949.0,19168.0,18161.0,18895.0,17529.5078125,5839511
2022-12-05,19200.0,19678.0,19111.0,19173.0,17787.416015625,3483163
2022-12-06,19101.0,19600.0,19147.0,19485.0,18076.869140625,1780284
2022-12-07,19587.0,19706.0,19273.0,19582.0,18166.859375,2435027
2022-12-08,19740.0,19771.0,19368.0,19490.0,18081.5078125,1930407
2022-12-09,19500.0,19729.0,19383.0,19514.0,18103.7734375,2270449
2022-12-12,19351.0,19638.0,19352.0,19460.0,18053.67578125,1884907
2022-12-13,19600.0,19610.0,19137.0,19442.0,18036.9765625,1735733
2022-12-14,19279.0,19752.0,19217.0,19417.0,18013.783203125,2408822
2022-12-15,19200.0,19487.0,18763.0,18960.0,17589.810546875,8771789
2022-12-19,19050.0,19796.0,18950.0,19691.0,18267.982421875,3448336
2022-12-20,19320.0,19883.0,19351.0,19699.0,18275.404296875,1081234
2022-12-21,19850.0,19842.0,19452.0,19800.0,18369.10546875,799487
2022-12-22,19800.0,19899.0,19416.0,19532.0,18120.47265625,785366
2022-12-23,19618.0,19822.0,19417.0,19700.0,18276.33203125,793135
2022-12-28,19700.0,19819.0,19536.0,19600.0,18183.55859375,1152467
2022-12-29,19718.0,19576.0,19155.0,19420.0,18016.56640625,1152111
