"Date","Price","Open","High","Low","Vol.","Change %"
"09/02/2022","60,854.02","59,516.37","60,891.50","59,516.37","121.33M","2.25%"
"09/01/2022","59,516.37","60,735.70","60,735.70","59,317.32","278.48M","-2.01%"
"08/31/2022","60,735.70","61,321.55","62,067.59","60,735.70","189.78M","-0.96%"
"08/30/2022","61,321.55","62,546.78","62,886.89","61,108.98","122.44M","-1.96%"
"08/29/2022","62,546.78","63,507.94","63,507.94","62,006.89","91.34M","-1.51%"
"08/26/2022","63,507.94","63,685.65","64,388.42","63,366.93","110.49M","-0.28%"
"08/25/2022","63,685.65","63,079.74","63,874.17","63,069.60","109.65M","0.96%"
"08/24/2022","63,079.74","63,032.89","63,403.92","62,784.39","93.27M","0.07%"
"08/23/2022","63,032.89","62,482.18","63,290.22","62,382.66","88.26M","0.88%"
"08/22/2022","62,482.18","62,974.06","62,981.14","62,008.67","100.28M","-0.78%"
"08/19/2022","62,974.06","64,183.99","64,281.20","62,840.68","110.82M","-1.89%"
"08/18/2022","64,183.99","64,167.49","64,459.74","64,006.63","84.92M","0.03%"
"08/17/2022","64,167.49","64,726.06","64,726.06","63,948.05","100.79M","-0.86%"
"08/16/2022","64,726.06","64,021.60","64,786.09","64,008.17","97.63M","1.10%"
"08/15/2022","64,021.60","63,996.11","64,439.74","63,895.08","104.83M","0.04%"
"08/12/2022","63,996.11","64,616.68","64,645.29","63,996.11","87.61M","-0.96%"
"08/11/2022","64,616.68","63,161.18","64,766.71","63,158.53","125.55M","2.30%"
"08/10/2022","63,161.18","63,770.91","63,770.91","62,743.26","112.10M","-0.96%"
"08/08/2022","63,770.91","63,114.01","64,001.38","62,873.52","75.43M","1.04%"
"08/05/2022","63,114.01","62,327.03","63,242.59","62,327.03","96.44M","1.26%"
"08/04/2022","62,327.03","62,199.10","63,014.63","62,176.96","120.96M","0.21%"
"08/03/2022","62,199.10","61,452.99","62,689.13","61,452.99","106.40M","0.99%"
"08/02/2022","61,588.20","62,155.49","62,155.49","61,063.14","135.13M","-0.91%"
"08/01/2022","62,155.49","62,473.81","62,951.83","61,785.28","124.23M","-0.51%"
"07/29/2022","62,473.81","62,169.99","62,711.48","61,948.26","161.23M","0.49%"
"07/28/2022","62,169.99","61,985.48","63,028.25","61,985.48","126.90M","0.30%"
"07/27/2022","61,985.48","62,017.11","62,255.65","61,784.92","","-0.05%"
"07/26/2022","62,017.11","61,432.89","62,127.32","61,432.89","93.16M","0.95%"
"07/25/2022","61,432.89","61,766.74","61,914.16","61,052.35","107.33M","-0.54%"
"07/22/2022","61,766.74","61,646.59","62,155.97","61,646.59","128.29M","0.19%"
"07/21/2022","61,646.59","61,379.04","61,820.11","60,792.12","108.45M","0.44%"
"07/20/2022","61,379.04","61,499.12","62,230.57","60,812.53","103.60M","-0.20%"
"07/19/2022","61,499.12","60,760.87","61,534.11","60,094.11","99.11M","1.22%"
"07/18/2022","60,760.87","58,905.46","60,894.11","58,894.83","113.24M","3.15%"
"07/15/2022","58,905.46","58,639.21","59,135.89","57,948.98","131.85M","0.45%"
"07/14/2022","58,639.21","60,031.68","60,261.79","58,252.87","112.35M","-2.32%"
"07/13/2022","60,031.68","60,964.89","60,964.89","59,254.02","129.55M","-1.53%"
"07/12/2022","60,964.89","61,008.16","61,054.49","60,405.21","92.66M","-0.07%"
